"id","cs","alt","choice","none","batteryL","weightL","priceL","soundL","battery_8h","battery_10h","battery_12h","battery_14h","weight_400g","weight_500g","weight_600g","price_70e","price_90e","price_110e","price_130e","sound_3.5s","sound_4s","sound_4.5s"
8,1,1,0,0,8,700,110,4,1,0,0,0,-1,-1,-1,0,0,1,0,0,1,0
8,1,2,0,0,12,500,150,4.5,0,0,1,0,0,1,0,-1,-1,-1,-1,0,0,1
8,1,3,1,0,12,600,70,4,0,0,1,0,0,0,1,1,0,0,0,0,1,0
8,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,1,0,0,16,400,150,5,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1
8,2,2,0,0,10,600,90,3.5,0,1,0,0,0,0,1,0,1,0,0,1,0,0
8,2,3,0,0,8,500,130,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0
8,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,1,0,0,10,600,70,3.5,0,1,0,0,0,0,1,1,0,0,0,1,0,0
8,3,2,0,0,14,500,110,4.5,0,0,0,1,0,1,0,0,0,1,0,0,0,1
8,3,3,1,0,10,400,110,5,0,1,0,0,1,0,0,0,0,1,0,-1,-1,-1
8,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,1,0,0,12,600,70,3.5,0,0,1,0,0,0,1,1,0,0,0,1,0,0
8,4,2,1,0,16,400,90,4.5,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,1
8,4,3,0,0,14,700,130,4,0,0,0,1,-1,-1,-1,0,0,0,1,0,1,0
8,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5,1,1,0,14,500,90,5,0,0,0,1,0,1,0,0,1,0,0,-1,-1,-1
8,5,2,0,0,12,400,150,3.5,0,0,1,0,1,0,0,-1,-1,-1,-1,1,0,0
8,5,3,0,0,8,600,130,5,1,0,0,0,0,0,1,0,0,0,1,-1,-1,-1
8,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,1,0,0,16,500,130,4,-1,-1,-1,-1,0,1,0,0,0,0,1,0,1,0
8,6,2,0,0,16,700,110,5,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,-1,-1,-1
8,6,3,0,0,8,700,70,4.5,1,0,0,0,-1,-1,-1,1,0,0,0,0,0,1
8,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,1,0,0,8,700,150,4.5,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1
8,7,2,0,0,16,400,130,3.5,-1,-1,-1,-1,1,0,0,0,0,0,1,1,0,0
8,7,3,1,0,14,600,70,5,0,0,0,1,0,0,1,1,0,0,0,-1,-1,-1
8,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,1,0,0,10,600,150,4,0,1,0,0,0,0,1,-1,-1,-1,-1,0,1,0
8,8,2,1,0,10,400,70,4.5,0,1,0,0,1,0,0,1,0,0,0,0,0,1
8,8,3,0,0,12,700,110,3.5,0,0,1,0,-1,-1,-1,0,0,1,0,1,0,0
8,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,1,1,0,14,500,110,5,0,0,0,1,0,1,0,0,0,1,0,-1,-1,-1
8,9,2,0,0,8,700,90,4,1,0,0,0,-1,-1,-1,0,1,0,0,0,1,0
8,9,3,0,0,12,600,90,3.5,0,0,1,0,0,0,1,0,1,0,0,1,0,0
8,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,1,0,0,12,400,110,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0
